FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),3784485,10885564,9051894,22997591,15723490,12342127,23889535,0,4219255,14061393,26299581,17454392,14866669,308885,3522500,OYAKC
2AAGE,Borç Karşılıkları,Short-Term Provisions,3466554,3780774,4604894,21596041,9070866,7566324,10358965,48978255,34736319,22655697,23909705,34206267,16743817,17250569,23970948,OYAKC
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,2540390,1503555,2047368,4341471,8859861,2919112,4496055,6211551,6745523,6932663,6531549,6639392,11243682,8665574,6601044,OYAKC
2AAGG,(Ara Toplam),(Subtotal),116059043,156931616,147717453,437818902,199868837,170737000,189763183,326314508,180802772,198331780,225432465,340367808,408786061,388270869,436467185,OYAKC
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,16516975,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,35589043,34932696,31891174,461865210,22543450,20975106,20046026,100093614,67313732,65660948,67135058,43439744,90094176,96547904,69050594,OYAKC
2BA,Finansal Borçlar,Long-Term Financial Loans,21805170,19126258,17155332,10058045,2402189,2461461,2733125,6680095,5154217,4387159,3637254,3950740,57900596,59841901,31747448,OYAKC
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,16363,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BBB,Diğer Borçlar,Other Long-Term Loans,0,0,0,405564557,0,0,0,53513825,36184005,35996722,37710137,0,0,0,0,OYAKC
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,156100,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
